项目名称,id,确权区域ID,初始日期,项目进展情况,填海情况,填海超面积情况,海域使用上报情况,动态监测情况,违法情况,用海调整情况,调整上报情况,调整上报审批情况,确权发证情况,受益方上报情况,受益方上报审批情况,relevance
项目名称1648,1648,1177,2016-04-01,竣工,填海,超面积,上报报警,未监测,合法,无调整,已上报,未通过,已发证,已上报,未通过,1.0364036560058594
项目名称424,424,308,2011-06-01,竣工,未填海,正常,上报报警,未监测,合法,无调整,已上报,未通过,已发证,已上报,未通过,1.0364036560058594
项目名称192,192,131,2012-06-01,竣工,未填海,正常,上报报警,已监测,违法,无调整,已上报,未通过,已发证,已上报,未通过,1.0364036560058594
项目名称2342,2342,1710,2011-06-01,竣工,填海,正常,上报报警,未监测,合法,无调整,未上报,未通过,已发证,已上报,未通过,1.0364035367965698
项目名称46,46,32,2012-05-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,未通过,已发证,未上报,未通过,1.0364035367965698
项目名称2107,2107,1540,2010-04-01,竣工,填海,超面积,上报报警,已监测,合法,无调整,未上报,未通过,已发证,已上报,未通过,1.0364035367965698
项目名称2392,2392,1746,2013-05-01,开工,填海,正常,上报报警,未监测,合法,无调整,已上报,未通过,已发证,未上报,未通过,1.0364035367965698
项目名称2481,2481,1819,2012-05-01,竣工,填海,超面积,上报报警,未监测,违法,无调整,已上报,未通过,已发证,未上报,未通过,1.0364035367965698
项目名称517,517,370,2016-05-01,竣工,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1800,1800,1303,2015-06-01,竣工,未填海,超面积,上报报警,未监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称2056,2056,1502,2011-06-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1801,1801,1304,2014-04-01,开工,填海,正常,上报报警,已监测,违法,有调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称781,781,557,2015-02-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1553,1553,1113,2015-04-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1298,1298,929,2012-05-01,竣工,未填海,超面积,上报报警,未监测,合法,有调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称20,20,14,2015-06-01,开工,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1557,1557,1117,2016-06-01,竣工,未填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1302,1302,933,2013-05-01,开工,填海,正常,上报报警,已监测,合法,有调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称29,29,20,2015-05-01,开工,未填海,超面积,上报报警,已监测,合法,有调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称2334,2334,1702,2016-04-01,竣工,未填海,超面积,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1061,1061,765,2014-04-01,验收,填海,正常,上报报警,未监测,违法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称817,817,587,2014-06-01,竣工,填海,超面积,上报报警,未监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称2103,2103,1537,2012-05-01,开工,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1341,1341,962,2015-06-01,验收,未填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称576,576,415,2016-06-01,开工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称328,328,237,2013-04-01,验收,填海,超面积,上报报警,已监测,合法,有调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称2379,2379,1737,2012-03-01,竣工,填海,超面积,上报报警,未监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1380,1380,988,2016-05-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1125,1125,807,2016-05-01,竣工,填海,正常,上报报警,已监测,合法,有调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称871,871,629,2010-06-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称616,616,440,2012-05-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1896,1896,1384,2012-05-01,验收,填海,超面积,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1386,1386,991,2013-05-01,开工,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1914,1914,1400,2016-02-01,开工,未填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称2170,2170,1586,2012-05-01,开工,填海,正常,上报报警,已监测,违法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称2178,2178,1593,2014-06-01,竣工,填海,正常,上报报警,未监测,违法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称2183,2183,1596,2012-03-01,开工,未填海,超面积,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1161,1161,829,2010-06-01,竣工,未填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称2441,2441,1787,2011-03-01,开工,填海,正常,上报报警,未监测,合法,有调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1682,1682,1203,2015-04-01,竣工,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1451,1451,1037,2012-05-01,竣工,填海,超面积,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1457,1457,1040,2015-06-01,竣工,未填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1218,1218,869,2015-06-01,验收,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称197,197,135,2014-04-01,竣工,填海,正常,上报报警,已监测,违法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称966,966,697,2016-06-01,开工,填海,超面积,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1990,1990,1451,2016-05-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1223,1223,873,2013-05-01,开工,填海,超面积,上报报警,未监测,合法,有调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1224,1224,874,2014-06-01,竣工,填海,超面积,上报报警,已监测,违法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称2249,2249,1641,2012-02-01,竣工,填海,超面积,上报报警,未监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1743,1743,1254,2014-05-01,开工,填海,正常,上报报警,已监测,合法,有调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称732,732,522,2015-04-01,验收,填海,正常,上报报警,已监测,合法,有调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称221,221,152,2012-04-01,开工,填海,正常,上报报警,已监测,违法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1501,1501,1072,2015-06-01,竣工,未填海,正常,上报报警,已监测,合法,有调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称2272,2272,1657,2013-06-01,开工,填海,正常,上报报警,未监测,违法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1250,1250,896,2014-05-01,竣工,填海,正常,上报报警,未监测,合法,有调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称2535,2535,1857,2015-02-01,竣工,未填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1256,1256,899,2014-06-01,竣工,填海,超面积,上报报警,已监测,违法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称2284,2284,1666,2015-06-01,竣工,填海,正常,上报报警,已监测,合法,有调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称493,493,350,2012-05-01,竣工,填海,超面积,上报报警,已监测,违法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称240,240,167,2011-04-01,竣工,填海,超面积,上报报警,已监测,违法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称243,243,169,2010-05-01,竣工,填海,正常,上报报警,已监测,合法,有调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1268,1268,908,2014-02-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1524,1524,1089,2013-06-01,竣工,未填海,超面积,上报报警,已监测,违法,有调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称2548,2548,1867,2014-02-01,开工,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,未发证,已上报,已通过,0.9735018014907837
项目名称1565,1565,1124,2015-06-01,竣工,填海,超面积,上报报警,未监测,合法,无调整,已上报,已通过,未发证,未上报,已通过,0.9735016822814941
项目名称894,894,645,2014-05-01,竣工,未填海,正常,上报报警,已监测,违法,无调整,未上报,已通过,未发证,已上报,已通过,0.9735016822814941
项目名称190,190,130,2014-06-01,竣工,填海,正常,上报报警,未监测,合法,无调整,未上报,已通过,未发证,已上报,已通过,0.9735016822814941
项目名称1983,1983,1444,2013-06-01,开工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,未发证,未上报,已通过,0.9735016822814941
项目名称997,997,724,2014-03-01,竣工,填海,超面积,上报报警,已监测,合法,无调整,未上报,已通过,未发证,已上报,已通过,0.9735016822814941
项目名称1767,1767,1277,2015-02-01,验收,填海,正常,上报报警,未监测,违法,无调整,已上报,已通过,未发证,未上报,已通过,0.9735016822814941
项目名称1071,1071,771,2015-06-01,验收,未填海,正常,上报报警,未监测,违法,有调整,未上报,已通过,未发证,未上报,已通过,0.9735015630722046
项目名称1024,1024,740,2016-04-01,开工,填海,正常,上报报警,未监测,合法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称2048,2048,1497,2015-05-01,竣工,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称769,769,550,2011-04-01,竣工,填海,超面积,上报报警,已监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1539,1539,1102,2011-06-01,验收,填海,正常,上报报警,已监测,合法,有调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称7,7,5,2014-03-01,开工,填海,正常,上报报警,已监测,违法,有调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1808,1808,1310,2013-06-01,验收,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称536,536,384,2014-05-01,竣工,未填海,正常,上报报警,未监测,违法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称1048,1048,757,2016-06-01,竣工,填海,正常,上报报警,未监测,合法,有调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称26,26,20,2012-05-01,竣工,填海,正常,上报报警,未监测,合法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称1818,1818,1321,2016-06-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1573,1573,1127,2013-06-01,竣工,未填海,正常,上报报警,未监测,合法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称552,552,398,2016-05-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1065,1065,767,2015-06-01,开工,填海,正常,上报报警,未监测,合法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称811,811,582,2010-05-01,开工,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称2348,2348,1714,2013-06-01,竣工,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称813,813,584,2016-05-01,开工,未填海,正常,上报报警,未监测,合法,有调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称560,560,406,2014-06-01,竣工,填海,超面积,上报报警,已监测,合法,有调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称2353,2353,1718,2014-06-01,竣工,填海,正常,上报报警,已监测,违法,有调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1589,1589,1139,2015-02-01,竣工,填海,超面积,上报报警,未监测,合法,有调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称572,572,414,2013-03-01,验收,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称2364,2364,1728,2010-06-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称583,583,419,2012-04-01,竣工,未填海,超面积,上报报警,未监测,合法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称844,844,611,2016-06-01,竣工,填海,超面积,上报报警,已监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称2386,2386,1743,2012-04-01,开工,填海,超面积,上报报警,未监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称596,596,427,2014-03-01,验收,未填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称2133,2133,1559,2012-06-01,开工,未填海,超面积,上报报警,已监测,合法,有调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称1113,1113,799,2016-06-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称2398,2398,1751,2015-04-01,竣工,填海,超面积,上报报警,已监测,违法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1631,1631,1163,2014-05-01,开工,未填海,正常,上报报警,已监测,违法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称2402,2402,1753,2013-05-01,竣工,填海,超面积,上报报警,已监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称364,364,261,2015-05-01,开工,填海,正常,上报报警,未监测,合法,有调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称2156,2156,1575,2014-05-01,竣工,填海,正常,上报报警,已监测,违法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1908,1908,1396,2012-04-01,开工,未填海,正常,上报报警,已监测,违法,有调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1909,1909,1397,2016-06-01,竣工,填海,正常,上报报警,已监测,违法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称118,118,80,2011-05-01,竣工,填海,超面积,上报报警,未监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称889,889,642,2015-06-01,竣工,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1658,1658,1186,2015-06-01,竣工,填海,超面积,上报报警,未监测,合法,有调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称1659,1659,1187,2015-02-01,开工,填海,正常,上报报警,未监测,违法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称639,639,457,2013-06-01,开工,填海,正常,上报报警,未监测,合法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称134,134,94,2014-03-01,开工,填海,正常,上报报警,已监测,合法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称136,136,95,2014-06-01,竣工,未填海,正常,上报报警,未监测,合法,有调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1163,1163,830,2012-05-01,竣工,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1426,1426,1018,2015-02-01,竣工,填海,超面积,上报报警,未监测,违法,有调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称1174,1174,838,2015-05-01,验收,填海,正常,上报报警,未监测,合法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称1430,1430,1020,2015-04-01,竣工,未填海,正常,上报报警,未监测,合法,有调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称1435,1435,1025,2010-06-01,开工,未填海,正常,上报报警,已监测,违法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称156,156,108,2015-05-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称675,675,484,2016-06-01,开工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1955,1955,1430,2013-06-01,开工,填海,正常,上报报警,已监测,违法,有调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称164,164,113,2011-03-01,开工,未填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1191,1191,851,2014-06-01,竣工,填海,正常,上报报警,未监测,合法,有调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1960,1960,1432,2013-04-01,开工,填海,正常,上报报警,已监测,违法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称1450,1450,1036,2014-04-01,开工,填海,正常,上报报警,未监测,合法,有调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1965,1965,1433,2012-06-01,竣工,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1206,1206,860,2013-04-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称956,956,692,2015-06-01,开工,未填海,正常,上报报警,已监测,违法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称2492,2492,1829,2012-04-01,开工,填海,正常,上报报警,未监测,合法,有调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1728,1728,1245,2011-05-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称195,195,132,2015-04-01,竣工,填海,正常,上报报警,未监测,违法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1480,1480,1056,2016-02-01,开工,填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称459,459,328,2012-05-01,竣工,填海,超面积,上报报警,已监测,合法,有调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1998,1998,1458,2012-04-01,开工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称2004,2004,1460,2015-05-01,竣工,填海,正常,上报报警,已监测,合法,有调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称1493,1493,1067,2011-06-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称987,987,714,2015-05-01,开工,填海,正常,上报报警,已监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称2268,2268,1655,2015-06-01,竣工,未填海,超面积,上报报警,未监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称2531,2531,1854,2012-05-01,竣工,填海,正常,上报报警,已监测,违法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称2022,2022,1474,2015-06-01,验收,填海,正常,上报报警,未监测,合法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称487,487,344,2015-06-01,开工,未填海,正常,上报报警,未监测,合法,无调整,已上报,已通过,已发证,已上报,未通过,0.8667466640472412
项目名称2023,2023,1474,2015-04-01,竣工,填海,正常,上报报警,已监测,合法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
项目名称1258,1258,900,2016-06-01,验收,填海,正常,上报报警,已监测,违法,无调整,已上报,未通过,已发证,已上报,已通过,0.8667466640472412
